头像	英雄名称	Hero name	详情
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_storm_spirit.png">	风暴之灵	storm_spirit	<a href="http://www.dota2.com.cn/hero/storm_spirit/">风暴之灵详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_sven.png">	斯温	sven	<a href="http://www.dota2.com.cn/hero/sven/">斯温详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tiny.png">	小小	tiny	<a href="http://www.dota2.com.cn/hero/tiny/">小小详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_vengefulspirit.png">	复仇之魂	vengefulspirit	<a href="http://www.dota2.com.cn/hero/vengeful_spirit/">复仇之魂详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_windrunner.png">	风行者	windrunner	<a href="http://www.dota2.com.cn/hero/windranger/">风行者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_zuus.png">	宙斯	Zeus	<a href="https://www.dota2.com.cn/hero/zuus">宙斯详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_kunkka.png">	昆卡	kunkka	<a href="http://www.dota2.com.cn/hero/kunkka/">昆卡详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lina.png">	莉娜	lina	<a href="http://www.dota2.com.cn/hero/lina/">莉娜详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lich.png">	巫妖	lich	<a href="http://www.dota2.com.cn/hero/lich/">巫妖详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lion.png">	莱恩	lion	<a href="http://www.dota2.com.cn/hero/lion/">莱恩详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_shadow_shaman.png">	暗影萨满	shadow_shaman	<a href="http://www.dota2.com.cn/hero/shadow_shaman/">暗影萨满详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_slardar.png">	斯拉达	slardar	<a href="http://www.dota2.com.cn/hero/slardar/">斯拉达详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tidehunter.png">	潮汐猎人	tidehunter	<a href="http://www.dota2.com.cn/hero/tidehunter/">潮汐猎人详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_witch_doctor.png">	巫医	witch_doctor	<a href="http://www.dota2.com.cn/hero/witch_doctor/">巫医详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_riki.png">	力丸	riki	<a href="http://www.dota2.com.cn/hero/riki/">力丸详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_enigma.png">	谜团	enigma	<a href="http://www.dota2.com.cn/hero/enigma/">谜团详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tinker.png">	修补匠	tinker	<a href="http://www.dota2.com.cn/hero/tinker/">修补匠详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_sniper.png">	狙击手	sniper	<a href="http://www.dota2.com.cn/hero/sniper/">狙击手详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_necrolyte.png">	瘟疫法师	necrolyte	<a href="http://www.dota2.com.cn/hero/necrophos/">瘟疫法师详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_warlock.png">	术士	warlock	<a href="http://www.dota2.com.cn/hero/warlock/">术士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_beastmaster.png">	兽王	beastmaster	<a href="http://www.dota2.com.cn/hero/beastmaster/">兽王详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_queenofpain.png">	痛苦女王	queenofpain	<a href="http://www.dota2.com.cn/hero/queen_of_pain/">痛苦女王详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_venomancer.png">	剧毒术士	venomancer	<a href="http://www.dota2.com.cn/hero/venomancer/">剧毒术士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_faceless_void.png">	虚空假面	faceless_void	<a href="http://www.dota2.com.cn/hero/faceless_void/">虚空假面详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_skeleton_king.png">	冥魂大帝	skeleton_king	<a href="http://www.dota2.com.cn/hero/wraith_king/">冥魂大帝详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_death_prophet.png">	死亡先知	death_prophet	<a href="http://www.dota2.com.cn/hero/death_prophet/">死亡先知详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_phantom_assassin.png">	幻影刺客	phantom_assassin	<a href="http://www.dota2.com.cn/hero/phantom_assassin/">幻影刺客详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_pugna.png">	帕格纳	pugna	<a href="http://www.dota2.com.cn/hero/pugna/">帕格纳详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_templar_assassin.png">	圣堂刺客	templar_assassin	<a href="http://www.dota2.com.cn/hero/templar_assassin/">圣堂刺客详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_viper.png">	冥界亚龙	viper	<a href="http://www.dota2.com.cn/hero/viper/">冥界亚龙详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_luna.png">	露娜	luna	<a href="http://www.dota2.com.cn/hero/luna/">露娜详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dragon_knight.png">	龙骑士	dragon_knight	<a href="http://www.dota2.com.cn/hero/dragon_knight/">龙骑士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dazzle.png">	戴泽	dazzle	<a href="http://www.dota2.com.cn/hero/dazzle/">戴泽详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_rattletrap.png">	发条技师	rattletrap	<a href="http://www.dota2.com.cn/hero/clockwerk/">发条技师详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_leshrac.png">	拉席克	leshrac	<a href="http://www.dota2.com.cn/hero/leshrac/">拉席克详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_furion.png">	先知	furion	<a href="http://www.dota2.com.cn/hero/natures_prophet/">先知详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_life_stealer.png">	噬魂鬼	life_stealer	<a href="http://www.dota2.com.cn/hero/lifestealer/">噬魂鬼详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dark_seer.png">	黑暗贤者	dark_seer	<a href="http://www.dota2.com.cn/hero/dark_seer/">黑暗贤者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_clinkz.png">	克林克兹	clinkz	<a href="http://www.dota2.com.cn/hero/clinkz/">克林克兹详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_omniknight.png">	全能骑士	omniknight	<a href="http://www.dota2.com.cn/hero/omniknight/">全能骑士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_enchantress.png">	魅惑魔女	enchantress	<a href="http://www.dota2.com.cn/hero/enchantress/">魅惑魔女详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_huskar.png">	哈斯卡	huskar	<a href="http://www.dota2.com.cn/hero/huskar/">哈斯卡详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_night_stalker.png">	暗夜魔王	night_stalker	<a href="http://www.dota2.com.cn/hero/night_stalker/">暗夜魔王详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_broodmother.png">	育母蜘蛛	broodmother	<a href="http://www.dota2.com.cn/hero/broodmother/">育母蜘蛛详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bounty_hunter.png">	赏金猎人	bounty_hunter	<a href="http://www.dota2.com.cn/hero/bounty_hunter/">赏金猎人详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_weaver.png">	编织者	weaver	<a href="http://www.dota2.com.cn/hero/weaver/">编织者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_jakiro.png">	杰奇洛	jakiro	<a href="http://www.dota2.com.cn/hero/jakiro/">杰奇洛详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_batrider.png">	蝙蝠骑士	batrider	<a href="http://www.dota2.com.cn/hero/batrider/">蝙蝠骑士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_chen.png">	陈	chen	<a href="http://www.dota2.com.cn/hero/chen/">陈详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_spectre.png">	幽鬼	spectre	<a href="http://www.dota2.com.cn/hero/spectre/">幽鬼详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_doom_bringer.png">	末日使者	doom_bringer	<a href="http://www.dota2.com.cn/hero/doom/">末日使者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ancient_apparition.png">	远古冰魄	ancient_apparition	<a href="http://www.dota2.com.cn/hero/ancient_apparition/">远古冰魄详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ursa.png">	熊战士	ursa	<a href="http://www.dota2.com.cn/hero/ursa/">熊战士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_spirit_breaker.png">	裂魂人	spirit_breaker	<a href="http://www.dota2.com.cn/hero/spirit_breaker/">裂魂人详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_gyrocopter.png">	矮人直升机	gyrocopter	<a href="http://www.dota2.com.cn/hero/gyrocopter/">矮人直升机详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_alchemist.png">	炼金术士	alchemist	<a href="http://www.dota2.com.cn/hero/alchemist/">炼金术士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_invoker.png">	祈求者	invoker	<a href="http://www.dota2.com.cn/hero/invoker/">祈求者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_silencer.png">	沉默术士	silencer	<a href="http://www.dota2.com.cn/hero/silencer/">沉默术士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_obsidian_destroyer.png">	殁境神蚀者	obsidian_destroyer	<a href="http://www.dota2.com.cn/hero/Outworld_Devourer/">殁境神蚀者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lycan.png">	狼人	lycan	<a href="http://www.dota2.com.cn/hero/lycan/">狼人详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_brewmaster.png">	酒仙	brewmaster	<a href="http://www.dota2.com.cn/hero/brewmaster/">酒仙详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_shadow_demon.png">	暗影恶魔	shadow_demon	<a href="http://www.dota2.com.cn/hero/shadow_demon/">暗影恶魔详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_lone_druid.png">	德鲁伊	lone_druid	<a href="http://www.dota2.com.cn/hero/lone_druid/">德鲁伊详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_chaos_knight.png">	混沌骑士	chaos_knight	<a href="http://www.dota2.com.cn/hero/chaos_knight/">混沌骑士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_meepo.png">	米波	meepo	<a href="http://www.dota2.com.cn/hero/meepo/">米波详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_treant.png">	树精卫士	treant	<a href="http://www.dota2.com.cn/hero/treant_protector/">树精卫士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ogre_magi.png">	食人魔魔法师	ogre_magi	<a href="http://www.dota2.com.cn/hero/ogre_magi/">食人魔魔法师详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_undying.png">	不朽尸王	undying	<a href="http://www.dota2.com.cn/hero/undying/">不朽尸王详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_rubick.png">	拉比克	rubick	<a href="http://www.dota2.com.cn/hero/rubick/">拉比克详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_disruptor.png">	干扰者	disruptor	<a href="http://www.dota2.com.cn/hero/disruptor/">干扰者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_nyx_assassin.png">	司夜刺客	nyx_assassin	<a href="http://www.dota2.com.cn/hero/nyx_assassin/">司夜刺客详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_naga_siren.png">	娜迦海妖	naga_siren	<a href="http://www.dota2.com.cn/hero/naga_siren/">娜迦海妖详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_keeper_of_the_light.png">	光之守卫	keeper_of_the_light	<a href="http://www.dota2.com.cn/hero/keeper_of_the_light/">光之守卫详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_wisp.png">	艾欧	wisp	<a href="http://www.dota2.com.cn/hero/Io/">艾欧详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_visage.png">	维萨吉	visage	<a href="http://www.dota2.com.cn/hero/visage/">维萨吉详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_slark.png">	斯拉克	slark	<a href="http://www.dota2.com.cn/hero/slark/">斯拉克详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_medusa.png">	美杜莎	medusa	<a href="http://www.dota2.com.cn/hero/medusa/">美杜莎详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_troll_warlord.png">	巨魔战将	troll_warlord	<a href="http://www.dota2.com.cn/hero/troll_warlord/">巨魔战将详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_centaur.png">	半人马战行者	centaur	<a href="http://www.dota2.com.cn/hero/centaur_warrunner/">半人马战行者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_magnataur.png">	马格纳斯	magnataur	<a href="http://www.dota2.com.cn/hero/magnus/">马格纳斯详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_shredder.png">	伐木机	shredder	<a href="http://www.dota2.com.cn/hero/timbersaw/">伐木机详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_bristleback.png">	钢背兽	bristleback	<a href="http://www.dota2.com.cn/hero/bristleback/">钢背兽详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tusk.png">	巨牙海民	tusk	<a href="http://www.dota2.com.cn/hero/tusk/">巨牙海民详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_skywrath_mage.png">	天怒法师	skywrath_mage	<a href="http://www.dota2.com.cn/hero/Skywrath_Mage/">天怒法师详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_abaddon.png">	亚巴顿	abaddon	<a href="http://www.dota2.com.cn/hero/abaddon/">亚巴顿详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_elder_titan.png">	上古巨神	elder_titan	<a href="http://www.dota2.com.cn/hero/elder_titan/">上古巨神详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_legion_commander.png">	军团指挥官	legion_commander	<a href="http://www.dota2.com.cn/hero/legion_commander/">军团指挥官详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_ember_spirit.png">	灰烬之灵	ember_spirit	<a href="http://www.dota2.com.cn/hero/ember_spirit/">灰烬之灵详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_earth_spirit.png">	大地之灵	earth_spirit	<a href="http://www.dota2.com.cn/hero/earth_spirit/">大地之灵详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_terrorblade.png">	恐怖利刃	terrorblade	<a href="http://www.dota2.com.cn/hero/terrorblade/">恐怖利刃详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_phoenix.png">	凤凰	phoenix	<a href="http://www.dota2.com.cn/hero/phoenix/">凤凰详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_oracle.png">	神谕者	oracle	<a href="http://www.dota2.com.cn/hero/oracle/">神谕者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_techies.png">	工程师	techies	<a href="http://www.dota2.com.cn/hero/techies/">工程师详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_winter_wyvern.png">	寒冬飞龙	winter_wyvern	<a href="http://www.dota2.com.cn/hero/winter_wyvern/">寒冬飞龙详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_arc_warden.png">	天穹守望者	arc_warden	<a href="http://www.dota2.com.cn/hero/arc_warden/">天穹守望者详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_abyssal_underlord.png">	孽主	abyssal_underlord	<a href="http://www.dota2.com.cn/hero/abyssal_underlord/">孽主详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_monkey_king.png">	齐天大圣	monkey_king	<a href="http://www.dota2.com.cn/hero/monkey_king/">齐天大圣详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_pangolier.png">	石鳞剑士	pangolier	<a href="http://www.dota2.com.cn/hero/pangolier/">石鳞剑士详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dark_willow.png">	邪影芳灵	dark_willow	<a href="http://www.dota2.com.cn/hero/dark_willow/">邪影芳灵详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_grimstroke.png">	天涯墨客	grimstroke	<a href="http://www.dota2.com.cn/hero/grimstroke/">天涯墨客详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_mars.png">	玛尔斯	mars	<a href="http://www.dota2.com.cn/hero/mars/">Mars详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_hoodwink.png">	森海飞霞	Hoodwink	<a href="https://www.dota2.com.cn/hero/hoodwink">森海飞霞详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_snapfire.png">	电炎绝手	Snapfire	<a href="https://www.dota2.com.cn/hero/snapfire">电炎绝手详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_void_spirit.png">	虚无之灵	Void Spirit	<a href="https://www.dota2.com.cn/hero/void_spirit">虚无之灵详情</a>
<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_dawnbreaker.png">	破晓辰星	Dawnbreaker	<a href="https://www.dota2.com.cn/hero/dawnbreaker">破晓辰星详情</a>
<img src="https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/marci.png">	玛西	Marci	<a href="https://www.dota2.com.cn/hero/marci">玛西详情</a>
